Season,Episode,Time_Stamp,Dialogue,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,Segment,HighControversial,MediumControversial,LowControversial
1,1,00:09:21,"Eventually, she'll find out where you're going every day.","anger,fear,negative,sadness,surprise",Neutral,0,Neutral,1,0,0,11.11
1,1,00:09:24,Yeah.,Neutral,Positive,1,Neutral,1,0,0,0
1,1,00:09:28,"Yeah, you're right. Okay, I'll tell her tonight.","anger,disgust,fear,negative,sadness",Positive,1,Positive,1,0,0,0
1,1,00:09:48,Victory is mine!,"anticipation,joy,positive,trust",Neutral,0,Positive,1,0,0,0
1,1,00:09:50,I'll need the checkbook in the morning.,"anger,disgust,fear,negative,sadness",Neutral,0,Neutral,1,0,0,14.29
1,1,00:09:52,I'm going to Stop 'N Shop for some sweet corn.,"anticipation,joy,positive,surprise,trust",Positive,1,Positive,1,0,0,0
1,1,00:09:54,You're spending money on food again?,"anger,anticipation,joy,positive,surprise,trust",Neutral,0,Neutral,1,33.33,0,0
1,1,00:09:55,"Lois, we just had dinner.",positive,Neutral,0,Neutral,1,0,0,0
1,1,00:09:57,"I enjoyed it so much, I thought we'd eat again tomorrow.","anticipation,positive",Neutral,0,Positive,1,0,0,9.09
1,1,00:10:01,Since when are you so concerned about our food budget?,"fear,joy,positive,sadness,trust",Neutral,0,Negative,1,10,0,0
1,1,00:10:04,I just...,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:10:05,"Lois, this is really hard for me to say, but...",Neutral,Negative,-1,Negative,1,0,0,0
1,1,00:10:09,"What is it, Peter?",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:10:12,You're getting kind of fat.,"disgust,joy,negative,positive,sadness,trust",Positive,2,Negative,1,0,0,20
1,1,00:10:12,What?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:10:14,It's just... It's not healthy.,positive,Positive,2,Positive,1,0,0,0
1,1,00:10:16,"Peter, I do my Jane Fonda workout tape three times a week.",Neutral,Neutral,0,Neutral,1,0,0,8.33
1,1,00:10:20,When was the last time you saw your toes?,anticipation,Neutral,0,Neutral,1,0,0,11.11
1,1,00:10:22,I thought you people were supposed to be jolly.,anticipation,Positive,2,Positive,1,0,0,11.11
1,1,00:10:24,"Peter, what the hell is the matter with you?","anger,disgust,fear,negative,sadness",Negative,-3,Negative,1,0,0,11.11
1,1,00:10:27,"Honey, if there's something wrong, you can tell me.","negative,positive",Negative,-2,Negative,1,0,0,0
1,1,00:10:30,"Sorry, man. Am I late? What did I miss?","negative,sadness",Negative,-3,Negative,1,0,0,0
1,1,00:10:30,Thank God you're here. What do I do?,"anticipation,fear,joy,positive,trust",Positive,3,Positive,1,0,0,0
1,1,00:10:34,Tell him to keep quiet. He's in too deep.,"positive,sadness",Neutral,0,Positive,1,0,0,0
1,1,00:10:36,I don't know.,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:10:38,Where's the other guy?,Neutral,Neutral,0,Neutral,1,0,0,25
